Relationship,Cardinality,Type
USER → STUDENT/FACULTY/ADMIN,1:1,Strong (PK/FK inheritance)
STUDENT → ENROLLMENT,1:M,Weak
COURSE → ENROLLMENT,1:M,Weak
ACADEMIC_YEAR → ENROLLMENT,1:M,Weak
FACULTY → COURSE,1:M,Strong (Team Input #1)
COURSE → ASSESSMENT,1:M,Weak (Team Input #2)
ENROLLMENT → MARKS_ENTRY,1:M,Weak
ASSESSMENT → MARKS_ENTRY,1:M,Weak
ENROLLMENT → ATTENDANCE_LOG,1:M,Weak
STUDENT → LEAVE_REQUEST,1:M,Weak
STUDENT → RESEARCH_PROJECT,1:M,Strong (Team Input #3)
FACULTY → RESEARCH_PROJECT,1:M,Strong (Team Input #3)
RESEARCH_PROJECT → RESEARCH_MILESTONE,1:M,Weak
STUDENT → FEE_PAYMENT,1:M,Weak
FEE_STRUCTURE → FEE_PAYMENT,1:M,Weak
USER → FORUM_POST,1:M,Weak
COURSE → FORUM_POST,1:M,Weak
RESOURCE → EVENT,1:M,"Weak (Team Input #4,5)"
ADMIN → EVENT,1:M,Strong (Team Input #4)
FACULTY → MEETING_SLOT,1:M,Weak (Team Input #7)
STUDENT → MEETING_SLOT,1:0..M,Weak (Optional booking)
