Entity,Weak To,Attributes,Partial Key
ENROLLMENT,STUDENT/COURSE/ACADEMIC_YEAR,"enrollment_id, status, section",enrollment_id
ASSESSMENT,COURSE,"assessment_id, title, type, max_marks, date, weightage, course_id",assessment_id
MARKS_ENTRY,ASSESSMENT/STUDENT,"entry_id, marks_obtained, grade, feedback_text, outcome_mapping",entry_id
ATTENDANCE_LOG,ENROLLMENT/STUDENT,"log_id, date, status, lecture_topic",log_id
LEAVE_REQUEST,STUDENT,"request_id, start_date, end_date, reason, document_proof, status",request_id
RESEARCH_MILESTONE,RESEARCH_PROJECT,"milestone_id, title, submission_date, file_path, review_comments, status",milestone_id
FORUM_POST,COURSE/USER,"post_id, content, timestamp, tags",post_id
FEE_PAYMENT,STUDENT/FEE_STRUCTURE,"payment_id, transaction_id, amount_paid, payment_date, status",payment_id
EVENT,RESOURCE,"event_id, title, start_time, end_time, resource_id",event_id
MEETING_SLOT,FACULTY,"slot_id, faculty_id, student_id, start_time, end_time, status",slot_id
