Entity_Name,Weak_To,Attribute_Name,Data_Type,Partial_Key,Constraints
ENROLLMENT,STUDENT/COURSE/YEAR,enrollment_id,string,Yes,Not Null
ENROLLMENT,STUDENT/COURSE/YEAR,status,string,No,Default 'Active'
ENROLLMENT,STUDENT/COURSE/YEAR,section,string,No,Nullable
MARKS_ENTRY,ENROLLMENT/ASSESSMENT,entry_id,string,Yes,Not Null
MARKS_ENTRY,ENROLLMENT/ASSESSMENT,marks_obtained,int,No,Not Null
MARKS_ENTRY,ENROLLMENT/ASSESSMENT,grade,string,No,Nullable
MARKS_ENTRY,ENROLLMENT/ASSESSMENT,feedback_text,string,No,Nullable
MARKS_ENTRY,ENROLLMENT/ASSESSMENT,outcome_mapping,string,No,Nullable
ATTENDANCE_LOG,ENROLLMENT,log_id,string,Yes,Not Null
ATTENDANCE_LOG,ENROLLMENT,date,date,No,Not Null
ATTENDANCE_LOG,ENROLLMENT,status,string,No,Not Null
ATTENDANCE_LOG,ENROLLMENT,lecture_topic,string,No,Nullable
LEAVE_REQUEST,STUDENT,request_id,string,Yes,Not Null
LEAVE_REQUEST,STUDENT,start_date,date,No,Not Null
LEAVE_REQUEST,STUDENT,end_date,date,No,Not Null
LEAVE_REQUEST,STUDENT,reason,string,No,Not Null
LEAVE_REQUEST,STUDENT,document_proof,string,No,Nullable
LEAVE_REQUEST,STUDENT,status,string,No,Default 'Pending'
RESEARCH_MILESTONE,RESEARCH_PROJECT,milestone_id,string,Yes,Not Null
RESEARCH_MILESTONE,RESEARCH_PROJECT,title,string,No,Not Null
RESEARCH_MILESTONE,RESEARCH_PROJECT,submission_date,date,No,Not Null
RESEARCH_MILESTONE,RESEARCH_PROJECT,file_path,string,No,Not Null
RESEARCH_MILESTONE,RESEARCH_PROJECT,review_comments,string,No,Nullable
RESEARCH_MILESTONE,RESEARCH_PROJECT,status,string,No,Default 'Submitted'
FORUM_POST,COURSE/USER,post_id,string,Yes,Not Null
FORUM_POST,COURSE/USER,content,string,No,Not Null
FORUM_POST,COURSE/USER,timestamp,date,No,Not Null
FORUM_POST,COURSE/USER,tags,string,No,Nullable
FEE_PAYMENT,STUDENT/FEE_STRUCTURE,payment_id,string,Yes,Not Null
FEE_PAYMENT,STUDENT/FEE_STRUCTURE,transaction_id,string,No,Unique
FEE_PAYMENT,STUDENT/FEE_STRUCTURE,amount_paid,int,No,Not Null
FEE_PAYMENT,STUDENT/FEE_STRUCTURE,payment_date,date,No,Not Null
FEE_PAYMENT,STUDENT/FEE_STRUCTURE,status,string,No,Default 'Pending'
EVENT,RESOURCE/ADMIN,event_id,string,Yes,Not Null
EVENT,RESOURCE/ADMIN,title,string,No,Not Null
EVENT,RESOURCE/ADMIN,start_time,date,No,Not Null
EVENT,RESOURCE/ADMIN,end_time,date,No,Not Null
MEETING_SLOT,FACULTY,slot_id,string,Yes,Not Null
MEETING_SLOT,FACULTY,start_time,date,No,Not Null
MEETING_SLOT,FACULTY,end_time,date,No,Not Null
MEETING_SLOT,FACULTY,status,string,No,Default 'Available'
EXAM,ASSESSMENT,assessment_id,string,Yes,FK to ASSESSMENT
EXAM,ASSESSMENT,duration_minutes,int,No,Not Null
EXAM,ASSESSMENT,venue,string,No,Nullable
QUIZ,ASSESSMENT,assessment_id,string,Yes,FK to ASSESSMENT
QUIZ,ASSESSMENT,time_limit_minutes,int,No,Not Null
QUIZ,ASSESSMENT,platform_link,string,No,Nullable
ASSIGNMENT,ASSESSMENT,assessment_id,string,Yes,FK to ASSESSMENT
ASSIGNMENT,ASSESSMENT,submission_deadline,date,No,Not Null
ASSIGNMENT,ASSESSMENT,file_format_allowed,string,No,Nullable
