Entity_Name,Attribute_Name,Data_Type,Key_Type,Constraints,Normal_Form_Note
USER,user_id,string,PK,Not Null,BCNF
USER,username,string,Unique,Not Null,BCNF
USER,password_hash,string,,Not Null,BCNF
USER,email,string,Unique,Not Null,BCNF
USER,phone,string,,Nullable,BCNF
USER,role,string,,Not Null,BCNF
USER,created_at,date,,Not Null,BCNF
STUDENT,user_id,string,PK/FK,References USER(user_id),BCNF
STUDENT,first_name,string,,Not Null,1NF (split from Name)
STUDENT,last_name,string,,Not Null,1NF (split from Name)
STUDENT,dob,date,,Nullable,BCNF
STUDENT,gender,string,,Nullable,BCNF
STUDENT,street,string,,Nullable,1NF (split from Address)
STUDENT,city,string,,Nullable,1NF (split from Address)
STUDENT,state,string,,Nullable,1NF (split from Address)
STUDENT,zip_code,string,,Nullable,1NF (split from Address)
STUDENT,branch,string,,Not Null,BCNF
STUDENT,parent_contact,string,,Nullable,BCNF
STUDENT,join_date,date,,Not Null,BCNF
STUDENT,batch,string,,Not Null,BCNF
FACULTY,user_id,string,PK/FK,References USER(user_id),BCNF
FACULTY,first_name,string,,Not Null,1NF (split from Name)
FACULTY,last_name,string,,Not Null,1NF (split from Name)
FACULTY,designation,string,,Not Null,BCNF
FACULTY,department_id,string,FK,References DEPARTMENT(department_id),3NF
FACULTY,qualification,string,,Nullable,BCNF
ADMIN,user_id,string,PK/FK,References USER(user_id),BCNF
ADMIN,first_name,string,,Not Null,1NF (split from Name)
ADMIN,last_name,string,,Not Null,1NF (split from Name)
ADMIN,privilege_level,string,,Not Null,BCNF
ADMIN,department_id,string,FK,References DEPARTMENT(department_id),3NF
DEPARTMENT,department_id,string,PK,Not Null,3NF (new entity)
DEPARTMENT,department_name,string,,Not Null,3NF
DEPARTMENT,department_code,string,,Unique,3NF
DEPARTMENT,head_of_dept,string,,Nullable,3NF
COURSE,course_id,string,PK,Not Null,BCNF
COURSE,course_name,string,,Not Null,BCNF
COURSE,course_code,string,,Unique,BCNF
COURSE,credits,int,,Not Null,BCNF
COURSE,objective,string,,Nullable,BCNF
COURSE,faculty_id,string,FK,References FACULTY(user_id),BCNF
TOPIC,topic_id,string,PK,Not Null,1NF (extracted from Syllabus_JSON)
TOPIC,course_id,string,FK,References COURSE(course_id),1NF
TOPIC,topic_name,string,,Not Null,1NF
TOPIC,sequence_order,int,,Not Null,1NF
TOPIC,status,string,,Default 'Pending',1NF
ACADEMIC_YEAR,year_id,string,PK,Not Null,BCNF
ACADEMIC_YEAR,year_name,string,,Not Null,BCNF
ACADEMIC_YEAR,start_date,date,,Not Null,BCNF
ACADEMIC_YEAR,end_date,date,,Not Null,BCNF
ACADEMIC_YEAR,is_current,string,,Default 'False',BCNF
ASSESSMENT,assessment_id,string,PK,Not Null,BCNF
ASSESSMENT,course_id,string,FK,References COURSE(course_id),BCNF
ASSESSMENT,title,string,,Not Null,BCNF
ASSESSMENT,type,string,,Not Null,BCNF
ASSESSMENT,max_marks,int,,Not Null,BCNF
ASSESSMENT,date,date,,Not Null,BCNF
ASSESSMENT,weightage,int,,Nullable,BCNF
LEARNING_OUTCOME,outcome_id,string,PK,Not Null,3NF (new entity)
LEARNING_OUTCOME,course_id,string,FK,References COURSE(course_id),3NF
LEARNING_OUTCOME,description,string,,Not Null,3NF
LEARNING_OUTCOME,bloom_level,string,,Not Null,3NF
RESOURCE,resource_id,string,PK,Not Null,BCNF
RESOURCE,name,string,,Not Null,BCNF
RESOURCE,capacity,int,,Not Null,BCNF
RESOURCE,type,string,,Not Null,BCNF
RESOURCE,location,string,,Nullable,BCNF
FEE_STRUCTURE,fee_id,string,PK,Not Null,BCNF
FEE_STRUCTURE,branch,string,FK,References STUDENT(branch),BCNF
FEE_STRUCTURE,year_id,string,FK,References ACADEMIC_YEAR(year_id),BCNF
FEE_STRUCTURE,amount,int,,Not Null,BCNF
FEE_STRUCTURE,due_date,date,,Not Null,BCNF
FEE_STRUCTURE,category,string,,Not Null,BCNF
